spot,x,y,luminosity,error,T,v,v_fin,phase,detected
33.0,454.52,773.1,42.9085,3.77492,20.0,58.3,7.0,annealing_T=100_h=5,True
33.0,460.53,771.17,89.7536,3.17898,20.0,58.3,7.0,annealing_T=75_h=25,True
33.0,460.83,771.8,87.8613,3.04888,20.0,58.3,7.0,annealing_T=75_h=5,True
33.0,456.62,770.21,74.0645,2.89144,20.0,58.3,7.0,before_annealing,True
34.0,486.43,102.89,3205.06,9.29334,20.0,58.3,7.0,annealing_T=100_h=5,True
34.0,487.29,100.95,1594.75,7.60432,20.0,58.3,7.0,annealing_T=75_h=25,True
34.0,491.45,101.92,3428.37,9.40195,20.0,58.3,7.0,annealing_T=75_h=5,True
34.0,489.0,100.3,3402.57,9.10196,20.0,58.3,7.0,before_annealing,True
35.0,502.65,12.69,0.0,0.0,20.0,58.3,7.0,annealing_T=100_h=5,False
35.0,502.65,12.69,0.0,0.0,20.0,58.3,7.0,annealing_T=75_h=25,False
35.0,504.81,14.29,32.6416,2.24185,20.0,58.3,7.0,annealing_T=75_h=5,True
35.0,502.65,12.69,34.496,2.25866,20.0,58.3,7.0,before_annealing,True
36.0,502.98,1003.82,124.477,3.76599,20.0,58.3,7.0,annealing_T=100_h=5,True
36.0,511.27,1001.29,111.98,3.12313,20.0,58.3,7.0,annealing_T=75_h=25,True
36.0,510.17,1002.41,102.229,2.83654,20.0,58.3,7.0,annealing_T=75_h=5,True
36.0,505.5,1001.08,90.709,2.84653,20.0,58.3,7.0,before_annealing,True
37.0,505.28,144.38,85.3488,2.63359,20.0,58.3,7.0,annealing_T=100_h=5,True
37.0,506.72,142.12,168.479,3.71969,20.0,58.3,7.0,annealing_T=75_h=25,True
37.0,510.67,143.02,295.652,4.80138,20.0,58.3,7.0,annealing_T=75_h=5,True
37.0,508.0,141.46,341.623,4.44226,20.0,58.3,7.0,before_annealing,True
38.0,513.05,851.26,0.0,0.0,20.0,58.3,7.0,annealing_T=100_h=5,False
38.0,513.05,851.26,0.0,0.0,20.0,58.3,7.0,annealing_T=75_h=25,False
38.0,513.05,851.26,0.0,0.0,20.0,58.3,7.0,annealing_T=75_h=5,False
38.0,513.05,851.26,34.3596,2.37146,20.0,58.3,7.0,before_annealing,True
39.0,513.75,887.61,872.833,11.5203,20.0,58.3,7.0,annealing_T=100_h=5,True
39.0,520.82,885.34,3054.03,14.8393,20.0,58.3,7.0,annealing_T=75_h=25,True
39.0,520.44,886.44,3113.59,11.1288,20.0,58.3,7.0,annealing_T=75_h=5,True
39.0,515.95,884.84,2735.3,11.1262,20.0,58.3,7.0,before_annealing,True
40.0,571.64,124.56,0.0,0.0,20.0,58.3,7.0,annealing_T=100_h=5,False
40.0,569.59,124.69,23.1714,1.86834,20.0,58.3,7.0,annealing_T=75_h=25,True
40.0,574.48,126.75,20.8524,1.68086,20.0,58.3,7.0,annealing_T=75_h=5,True
40.0,571.64,124.56,18.0209,1.72371,20.0,58.3,7.0,before_annealing,True
41.0,596.14,529.58,0.0,0.0,20.0,58.3,7.0,annealing_T=100_h=5,False
41.0,598.77,529.49,21.9269,1.68479,20.0,58.3,7.0,annealing_T=75_h=25,True
41.0,600.05,531.31,46.4278,2.80545,20.0,58.3,7.0,annealing_T=75_h=5,True
41.0,596.14,529.58,60.4918,2.15043,20.0,58.3,7.0,before_annealing,True
42.0,608.99,337.57,0.0,0.0,20.0,58.3,7.0,annealing_T=100_h=5,False
42.0,609.59,337.59,32.2719,2.30806,20.0,58.3,7.0,annealing_T=75_h=25,True
42.0,612.31,339.07,31.3786,2.39497,20.0,58.3,7.0,annealing_T=75_h=5,True
42.0,608.99,337.57,27.7955,2.21094,20.0,58.3,7.0,before_annealing,True
43.0,610.25,1037.24,62.6065,2.82154,20.0,58.3,7.0,annealing_T=100_h=5,True
43.0,618.72,1034.88,62.9231,3.07477,20.0,58.3,7.0,annealing_T=75_h=25,True
43.0,617.32,1036.43,49.0165,2.69434,20.0,58.3,7.0,annealing_T=75_h=5,True
43.0,612.04,1035.03,55.8756,2.58124,20.0,58.3,7.0,before_annealing,True
44.0,630.41,56.68,0.0,0.0,20.0,58.3,7.0,annealing_T=100_h=5,False
44.0,628.32,56.47,603.736,5.14871,20.0,58.3,7.0,annealing_T=75_h=25,True
44.0,632.87,58.18,706.728,5.25966,20.0,58.3,7.0,annealing_T=75_h=5,True
44.0,630.41,56.68,671.32,5.39493,20.0,58.3,7.0,before_annealing,True
45.0,635.56,921.19,138.371,3.50174,20.0,58.3,7.0,annealing_T=100_h=5,True
45.0,642.79,917.79,114.781,2.82242,20.0,58.3,7.0,annealing_T=75_h=25,True
