spot,x,y,luminosity,error,T,v,phase,detection,status,integration_radius,integration_area,run_number,match_distance,geometry_source_phase,geometry_source_run,geometry_mode,v_fin,deltaL1,deltaL2,deltaL,B,B_stat_error,deltaB,A,A_stat_error,fit_chi2,fit_ndf,fit_chi2ndf,fit_status,covmatrix_status,edm,fit_converged
6,231.34,755.44,27.9865,1.47746,20.0,55.3,annealing_T=75_h=25,present,reappeared,20.0,1256.6370614359173,20260530-001924,2.188378395067852,annealing_T=75_h=25,20260530-001924,phase_detection,4.0,1.6946,2.413,2.413,2.55681,0.0750456,0.54475,0.767865,0.105208,82.3479,4,20.587,0,3,7.25213e-08,1
6,231.34,755.44,42.2774,1.59785,20.0,56.3,annealing_T=75_h=25,present,reappeared,20.0,1256.6370614359173,20260530-001924,2.188378395067852,annealing_T=75_h=25,20260530-001924,phase_detection,5.0,10.998,4.421,10.998,2.55681,0.0750456,0.54475,0.767865,0.105208,82.3479,4,20.587,0,3,7.25213e-08,1
6,231.34,755.44,113.403,2.02771,20.0,58.3,annealing_T=75_h=25,present,reappeared,20.0,1256.6370614359173,20260530-001924,2.188378395067852,annealing_T=75_h=25,20260530-001924,phase_detection,7.0,1.987,13.179,13.179,2.55681,0.0750456,0.54475,0.767865,0.105208,82.3479,4,20.587,0,3,7.25213e-08,1
7,236.29,242.27,25.1533,1.13111,20.0,52.3,annealing_T=75_h=25,present,present,20.0,1256.6370614359173,20260530-001924,2.0693960471596413,annealing_T=75_h=25,20260530-001924,phase_detection,1.0,2.414,0.7776,2.414,1.86752,0.0151041,0.168067,17.7175,0.393944,4679.08,4,1169.77,0,3,5.68541e-08,1
7,236.29,242.27,74.6422,1.1432,20.0,53.3,annealing_T=75_h=25,present,present,20.0,1256.6370614359173,20260530-001924,2.0693960471596413,annealing_T=75_h=25,20260530-001924,phase_detection,2.0,3.6818,0.8728,3.6818,1.86752,0.0151041,0.168067,17.7175,0.393944,4679.08,4,1169.77,0,3,5.68541e-08,1
7,236.29,242.27,145.106,1.28584,20.0,54.3,annealing_T=75_h=25,present,present,20.0,1256.6370614359173,20260530-001924,2.0693960471596413,annealing_T=75_h=25,20260530-001924,phase_detection,3.0,4.073,3.39,4.073,1.86752,0.0151041,0.168067,17.7175,0.393944,4679.08,4,1169.77,0,3,5.68541e-08,1
7,236.29,242.27,232.347,1.39736,20.0,55.3,annealing_T=75_h=25,present,present,20.0,1256.6370614359173,20260530-001924,2.0693960471596413,annealing_T=75_h=25,20260530-001924,phase_detection,4.0,3.078,3.161,3.161,1.86752,0.0151041,0.168067,17.7175,0.393944,4679.08,4,1169.77,0,3,5.68541e-08,1
7,236.29,242.27,336.338,1.54291,20.0,56.3,annealing_T=75_h=25,present,present,20.0,1256.6370614359173,20260530-001924,2.0693960471596413,annealing_T=75_h=25,20260530-001924,phase_detection,5.0,2.319,0.34,2.319,1.86752,0.0151041,0.168067,17.7175,0.393944,4679.08,4,1169.77,0,3,5.68541e-08,1
7,236.29,242.27,1846.15,17.8685,20.0,58.3,annealing_T=75_h=25,present,present,20.0,1256.6370614359173,20260530-001924,2.0693960471596413,annealing_T=75_h=25,20260530-001924,phase_detection,7.0,33.48,41.96,41.96,1.86752,0.0151041,0.168067,17.7175,0.393944,4679.08,4,1169.77,0,3,5.68541e-08,1
8,252.84,349.72,15.882,0.810873,20.0,52.3,annealing_T=75_h=25,present,present,20.0,1256.6370614359173,20260530-001924,1.7801123560045131,annealing_T=75_h=25,20260530-001924,phase_detection,1.0,3.9695,0.9292,3.9695,2.50456,0.00646626,0.0788448,8.60465,0.0976178,346.749,4,86.6872,0,3,1.96852e-09,1
8,252.84,349.72,57.8993,0.985917,20.0,53.3,annealing_T=75_h=25,present,present,20.0,1256.6370614359173,20260530-001924,1.7801123560045131,annealing_T=75_h=25,20260530-001924,phase_detection,2.0,1.3778,4.721,4.721,2.50456,0.00646626,0.0788448,8.60465,0.0976178,346.749,4,86.6872,0,3,1.96852e-09,1
8,252.84,349.72,139.996,1.11836,20.0,54.3,annealing_T=75_h=25,present,present,20.0,1256.6370614359173,20260530-001924,1.7801123560045131,annealing_T=75_h=25,20260530-001924,phase_detection,3.0,4.13,4.229,4.229,2.50456,0.00646626,0.0788448,8.60465,0.0976178,346.749,4,86.6872,0,3,1.96852e-09,1
8,252.84,349.72,278.249,1.34796,20.0,55.3,annealing_T=75_h=25,present,present,20.0,1256.6370614359173,20260530-001924,1.7801123560045131,annealing_T=75_h=25,20260530-001924,phase_detection,4.0,6.16,8.493,8.493,2.50456,0.00646626,0.0788448,8.60465,0.0976178,346.749,4,86.6872,0,3,1.96852e-09,1
8,252.84,349.72,469.259,1.37055,20.0,56.3,annealing_T=75_h=25,present,present,20.0,1256.6370614359173,20260530-001924,1.7801123560045131,annealing_T=75_h=25,20260530-001924,phase_detection,5.0,9.71,11.541,11.541,2.50456,0.00646626,0.0788448,8.60465,0.0976178,346.749,4,86.6872,0,3,1.96852e-09,1
8,252.84,349.72,1140.13,2.4892,20.0,58.3,annealing_T=75_h=25,present,present,20.0,1256.6370614359173,20260530-001924,1.7801123560045131,annealing_T=75_h=25,20260530-001924,phase_detection,7.0,25.48,39.22,39.22,2.50456,0.00646626,0.0788448,8.60465,0.0976178,346.749,4,86.6872,0,3,1.96852e-09,1
9,335.12,286.38,3.0287,0.772509,20.0,52.3,annealing_T=75_h=25,present,present,20.0,1256.6370614359173,20260530-001924,2.2760711763914756,annealing_T=75_h=25,20260530-001924,phase_detection,1.0,1.68626,0.89847,1.68626,1.95612,0.0340778,0.207905,2.56715,0.155635,69.179,4,17.2947,0,3,2.26493e-06,1
9,335.12,286.38,7.87197,0.989234,20.0,53.3,annealing_T=75_h=25,present,present,20.0,1256.6370614359173,20260530-001924,2.2760711763914756,annealing_T=75_h=25,20260530-001924,phase_detection,2.0,0.45613,2.94133,2.94133,1.95612,0.0340778,0.207905,2.56715,0.155635,69.179,4,17.2947,0,3,2.26493e-06,1
9,335.12,286.38,17.8255,1.01927,20.0,54.3,annealing_T=75_h=25,present,present,20.0,1256.6370614359173,20260530-001924,2.2760711763914756,annealing_T=75_h=25,20260530-001924,phase_detection,3.0,3.3888,5.9788,5.9788,1.95612,0.0340778,0.207905,2.56715,0.155635,69.179,4,17.2947,0,3,2.26493e-06,1
9,335.12,286.38,45.8161,1.08341,20.0,55.3,annealing_T=75_h=25,present,present,20.0,1256.6370614359173,20260530-001924,2.2760711763914756,annealing_T=75_h=25,20260530-001924,phase_detection,4.0,7.3815,3.2791,7.3815,1.95612,0.0340778,0.207905,2.56715,0.155635,69.179,4,17.2947,0,3,2.26493e-06,1
9,335.12,286.38,57.6688,1.12374,20.0,56.3,annealing_T=75_h=25,present,present,20.0,1256.6370614359173,20260530-001924,2.2760711763914756,annealing_T=75_h=25,20260530-001924,phase_detection,5.0,1.9422,1.6973,1.9422,1.95612,0.0340778,0.207905,2.56715,0.155635,69.179,4,17.2947,0,3,2.26493e-06,1
9,335.12,286.38,115.062,1.37218,20.0,58.3,annealing_T=75_h=25,present,present,20.0,1256.6370614359173,20260530-001924,2.2760711763914756,annealing_T=75_h=25,20260530-001924,phase_detection,7.0,5.045,8.853,8.853,1.95612,0.0340778,0.207905,2.56715,0.155635,69.179,4,17.2947,0,3,2.26493e-06,1
10,355.75,845.56,6.5827,1.18288,20.0,52.3,annealing_T=75_h=25,present,present,20.0,1256.6370614359173,20260530-001924,1.7473408368146344,annealing_T=75_h=25,20260530-001924,phase_detection,1.0,3.04706,0.50867,3.04706,2.17857,0.0318442,0.124709,2.95344,0.168348,52.704,4,13.176,0,3,3.71545e-08,1
10,355.75,845.56,13.3246,1.25009,20.0,53.3,annealing_T=75_h=25,present,present,20.0,1256.6370614359173,20260530-001924,1.7473408368146344,annealing_T=75_h=25,20260530-001924,phase_detection,2.0,0.5247,0.0293,0.5247,2.17857,0.0318442,0.124709,2.95344,0.168348,52.704,4,13.176,0,3,3.71545e-08,1
10,355.75,845.56,25.0172,1.53506,20.0,54.3,annealing_T=75_h=25,present,present,20.0,1256.6370614359173,20260530-001924,1.7473408368146344,annealing_T=75_h=25,20260530-001924,phase_detection,3.0,9.0373,3.6404,9.0373,2.17857,0.0318442,0.124709,2.95344,0.168348,52.704,4,13.176,0,3,3.71545e-08,1
