spot,x,y,phase,A,A_stat_error,B,B_stat_error,deltaB,chi2,ndf,chi2ndf,prob,fit_status,covmatrix_status,edm,converged
73,1088.41,521.95,annealing_T=75_h=25,34.2589,0.136913,2.48569,0.00238644,0.0286295,1209.53,4,302.383,1.36643e-260,0,3,6.4603e-07,1
74,1176.12,651.83,annealing_T=75_h=25,-2.35786e-10,5.81553e-10,12.3595,1.18481,11.6938,32.0754,4,8.01884,1.84643e-06,4,1,0.00230426,0
75,1679.39,253.85,annealing_T=75_h=25,2.15018,0.231333,1.74276,0.0623391,0.185305,166.846,4,41.7115,4.96917e-35,0,3,1.56411e-06,1
76,1721.86,805.27,annealing_T=75_h=25,12.8896,0.334043,1.32776,0.0157116,0.109515,164.1,4,41.0249,1.93e-34,0,3,1.36451e-07,1
77,805.09,191.09,annealing_T=75_h=25,6.47512,0.131223,2.32199,0.0113931,0.133851,68.8606,4,17.2151,3.94906e-14,0,3,2.41992e-08,1
78,829.06,883.12,annealing_T=75_h=25,23.7069,0.119413,2.39181,0.00296524,0.0452154,2668.34,4,667.084,0,0,3,2.37323e-08,1
79,1266.5,787.18,annealing_T=75_h=25,74.322,0.223141,2.11507,0.0019503,0.0297714,471.213,4,117.803,1.12592e-100,0,3,1.631e-07,1
80,1335.46,624.9,annealing_T=75_h=25,0.107997,0.00531485,4.48347,0.0257392,0.102556,70.0881,4,17.522,2.17471e-14,0,3,1.57635e-07,1
81,1535.27,136.79,annealing_T=75_h=25,8.47036,0.413962,1.22962,0.0300134,0.0286569,81.1737,4,20.2934,9.82458e-17,0,3,8.69071e-06,1
82,1556.2,207.38,annealing_T=75_h=25,28.2725,0.179168,2.05958,0.00371629,0.0383365,247.958,4,61.9894,1.79266e-52,0,3,5.01157e-07,1
83,573.96,120.15,annealing_T=75_h=25,1.91619,0.236307,1.86039,0.0711312,0.303266,298.563,4,74.6407,2.21207e-63,0,3,3.63872e-06,1
84,912.77,404.15,annealing_T=75_h=25,10.1135,0.0482417,3.06658,0.00276702,0.0203098,636.944,4,159.236,1.56257e-136,0,3,1.17878e-09,1
85,1734.9,907.69,annealing_T=75_h=25,-0.151901,0.160937,1.38144,0.563419,0.996909,163.6,4,40.8999,2.47053e-34,0,3,4.83335e-09,1
86,490.59,96.72,annealing_T=75_h=25,5.16981,0.0643039,2.97087,0.00687597,0.185313,16234.1,4,4058.52,0,0,3,2.06523e-07,1
87,792.9,248.28,annealing_T=75_h=25,4.97452,0.351793,1.48258,0.0424842,0.186809,163.219,4,40.8048,2.9814e-34,0,3,4.02e-07,1
88,870.76,651.5,annealing_T=75_h=25,27.801,0.133697,2.32442,0.00282281,0.0528545,744.862,4,186.216,6.72027e-160,0,3,4.83915e-08,1
89,1097.6,198.89,annealing_T=75_h=25,-0.00509098,0.0100272,3.72197,1.0339,4.25282,112.294,4,28.0736,2.35823e-23,0,3,2.55743e-06,1
90,1769.25,209.37,annealing_T=75_h=25,17.6328,0.0997279,2.55691,0.0032751,0.0295361,2451.25,4,612.813,0,0,3,5.33158e-06,1
