spot,x,y,luminosity,error,T,v,phase,detection,status,integration_radius,integration_area,run_number,match_distance,geometry_source_phase,geometry_source_run,geometry_mode,v_fin,deltaL1,deltaL2,deltaL,B,B_stat_error,deltaB,A,A_stat_error,fit_chi2,fit_ndf,fit_chi2ndf,fit_status,covmatrix_status,edm,fit_converged
4,182.58,172.15,2884.72,1.99596,20.0,55.3,before_annealing,present,reference,20.0,1256.6370614359173,20260513-032137,0.0,before_annealing,20260513-032137,phase_detection,4.0,28.63,36.24,36.24,2.37401,0.00107733,0.0340392,110.826,0.185024,16628.9,4,4157.22,0,3,8.33246e-08,1
4,182.58,172.15,4874.9,3.25901,20.0,56.3,before_annealing,present,reference,20.0,1256.6370614359173,20260513-032137,0.0,before_annealing,20260513-032137,phase_detection,5.0,57.7,78.1,78.1,2.37401,0.00107733,0.0340392,110.826,0.185024,16628.9,4,4157.22,0,3,8.33246e-08,1
4,182.58,172.15,11813.8,7.92935,20.0,58.3,before_annealing,present,reference,20.0,1256.6370614359173,20260513-032137,0.0,before_annealing,20260513-032137,phase_detection,7.0,208.8,283.2,283.2,2.37401,0.00107733,0.0340392,110.826,0.185024,16628.9,4,4157.22,0,3,8.33246e-08,1
5,193.7,520.1,7.74568,0.98894,20.0,52.3,before_annealing,present,reference,20.0,1256.6370614359173,20260513-032137,0.0,before_annealing,20260513-032137,phase_detection,1.0,0.34719,1.65214,1.65214,2.51725,0.00947152,0.0257245,5.41783,0.0923136,238.43,4,59.6074,0,3,4.38473e-07,1
5,193.7,520.1,28.6405,1.03878,20.0,53.3,before_annealing,present,reference,20.0,1256.6370614359173,20260513-032137,0.0,before_annealing,20260513-032137,phase_detection,2.0,5.8689,4.7231,5.8689,2.51725,0.00947152,0.0257245,5.41783,0.0923136,238.43,4,59.6074,0,3,4.38473e-07,1
5,193.7,520.1,98.7703,1.22349,20.0,54.3,before_annealing,present,reference,20.0,1256.6370614359173,20260513-032137,0.0,before_annealing,20260513-032137,phase_detection,3.0,0.1433,2.7525,2.7525,2.51725,0.00947152,0.0257245,5.41783,0.0923136,238.43,4,59.6074,0,3,4.38473e-07,1
5,193.7,520.1,179.767,1.1997,20.0,55.3,before_annealing,present,reference,20.0,1256.6370614359173,20260513-032137,0.0,before_annealing,20260513-032137,phase_detection,4.0,4.318,2.215,4.318,2.51725,0.00947152,0.0257245,5.41783,0.0923136,238.43,4,59.6074,0,3,4.38473e-07,1
5,193.7,520.1,295.789,1.51754,20.0,56.3,before_annealing,present,reference,20.0,1256.6370614359173,20260513-032137,0.0,before_annealing,20260513-032137,phase_detection,5.0,4.787,1.062,4.787,2.51725,0.00947152,0.0257245,5.41783,0.0923136,238.43,4,59.6074,0,3,4.38473e-07,1
5,193.7,520.1,733.115,2.05277,20.0,58.3,before_annealing,present,reference,20.0,1256.6370614359173,20260513-032137,0.0,before_annealing,20260513-032137,phase_detection,7.0,10.362,3.814,10.362,2.51725,0.00947152,0.0257245,5.41783,0.0923136,238.43,4,59.6074,0,3,4.38473e-07,1
6,232.05,757.51,3.71436,1.04873,20.0,52.3,before_annealing,present,reference,20.0,1256.6370614359173,20260513-032137,0.0,before_annealing,20260513-032137,phase_detection,1.0,2.885822,0.7597,2.885822,3.45281,0.131626,1.10818,0.125709,0.0313085,158.242,4,39.5604,0,3,1.37676e-12,1
6,232.05,757.51,0.835417,1.22873,20.0,53.3,before_annealing,present,reference,20.0,1256.6370614359173,20260513-032137,0.0,before_annealing,20260513-032137,phase_detection,2.0,2.381743,4.207153,4.207153,3.45281,0.131626,1.10818,0.125709,0.0313085,158.242,4,39.5604,0,3,1.37676e-12,1
6,232.05,757.51,19.9658,1.29495,20.0,54.3,before_annealing,present,reference,20.0,1256.6370614359173,20260513-032137,0.0,before_annealing,20260513-032137,phase_detection,3.0,0.993,0.0629,0.993,3.45281,0.131626,1.10818,0.125709,0.0313085,158.242,4,39.5604,0,3,1.37676e-12,1
6,232.05,757.51,9.66013,1.44464,20.0,55.3,before_annealing,present,reference,20.0,1256.6370614359173,20260513-032137,0.0,before_annealing,20260513-032137,phase_detection,4.0,3.87995,3.48227,3.87995,3.45281,0.131626,1.10818,0.125709,0.0313085,158.242,4,39.5604,0,3,1.37676e-12,1
6,232.05,757.51,27.817,1.66055,20.0,56.3,before_annealing,present,reference,20.0,1256.6370614359173,20260513-032137,0.0,before_annealing,20260513-032137,phase_detection,5.0,14.2934,8.1549,14.2934,3.45281,0.131626,1.10818,0.125709,0.0313085,158.242,4,39.5604,0,3,1.37676e-12,1
6,232.05,757.51,105.698,1.88985,20.0,58.3,before_annealing,present,reference,20.0,1256.6370614359173,20260513-032137,0.0,before_annealing,20260513-032137,phase_detection,7.0,12.9463,6.525,12.9463,3.45281,0.131626,1.10818,0.125709,0.0313085,158.242,4,39.5604,0,3,1.37676e-12,1
7,237.11,244.17,42.5025,0.806627,20.0,52.3,before_annealing,present,reference,20.0,1256.6370614359173,20260513-032137,0.0,before_annealing,20260513-032137,phase_detection,1.0,5.6469,0.8114,5.6469,2.07281,0.00388364,0.0691579,30.9177,0.187462,4391.43,4,1097.86,0,3,7.4787e-06,1
7,237.11,244.17,158.143,0.787515,20.0,53.3,before_annealing,present,reference,20.0,1256.6370614359173,20260513-032137,0.0,before_annealing,20260513-032137,phase_detection,2.0,0.428,1.321,1.321,2.07281,0.00388364,0.0691579,30.9177,0.187462,4391.43,4,1097.86,0,3,7.4787e-06,1
