x,y,luminosity,error,T,v
1223.31,784.33,108.362,3.312,20,58.30
456.91,770.07,66.8476,2.65552,20,58.30
1533.41,762.13,121.969,3.06022,20,58.30
411.95,761.56,51.9457,2.08712,20,58.30
232.97,761.01,37.2704,1.47064,20,58.30
2.02,737.91,70.3584,2.02127,20,58.30
908.95,732.16,1379.08,6.14942,20,58.30
1733.69,719.37,11804.3,15.5008,20,58.30
1546.23,707.2,735.079,4.68646,20,58.30
661.51,689.89,168.722,3.21875,20,58.30
1089.65,687.12,178.472,2.72746,20,58.30
785.99,676.37,49.9189,2.24164,20,58.30
830.7,668.52,368.252,4.41723,20,58.30
1228.54,665.73,221.697,3.75347,20,58.30
1585.37,649.05,48.1118,2.6669,20,58.30
1370.42,628.2,93.9473,2.29645,20,58.30
1337.83,624.44,845.83,4.53642,20,58.30
1254.8,594.44,55.445,2.61763,20,58.30
808.25,588.03,600.233,5.61747,20,58.30
1180.68,592.52,51.8834,1.90546,20,58.30
649.92,575.53,2873.8,7.43481,20,58.30
1851.73,554.11,627.268,5.01924,20,58.30
1782.9,552.18,279.199,3.54102,20,58.30
417.93,552.38,21.1578,1.37525,20,58.30
57.07,534.82,1042.21,6.06455,20,58.30
596.39,529.79,41.8608,1.75342,20,58.30
1088.48,522.4,4550.21,9.38271,20,58.30
193.6,523.67,610.281,4.85951,20,58.30
1496.87,505.65,1790.1,6.80248,20,58.30
429.4,489.45,2344.86,7.39538,20,58.30
1045.38,493.74,87.7106,2.25695,20,58.30
1244.35,482.94,338.291,3.76344,20,58.30
1772.19,474.97,521.733,4.80269,20,58.30
649.04,441.8,199.598,3.12362,20,58.30
1148.49,428.11,68.3307,2.3418,20,58.30
911.68,407.01,4215.79,8.47146,20,58.30
1266.31,411.79,24.0534,1.89313,20,58.30
1535.75,403.12,55.9754,2.34213,20,58.30
1386.71,370.47,92.9811,3.19516,20,58.30
699.83,367.63,24.5851,1.88054,20,58.30
93.75,359.08,282.322,3.64579,20,58.30
252.74,354.53,399.792,3.87187,20,58.30
1820.09,353.31,693.297,4.8881,20,58.30
1424.31,350.3,48.3724,1.74803,20,58.30
609.21,338,19.238,1.99595,20,58.30
1291.95,318.97,92.8497,10.9298,20,58.30
815.4,315.87,97.3255,3.15963,20,58.30
334.91,291.31,43.9626,2.3063,20,58.30
1891.43,287.28,966.396,7.0306,20,58.30
1651.74,275.23,55.5342,2.57471,20,58.30
138.25,261.48,57.8608,2.18501,20,58.30
1888.44,252.06,1623.7,7.49449,20,58.30
235.75,247.53,1691.75,8.20239,20,58.30
790.68,250.58,120.349,3.11615,20,58.30
1168.1,238.79,5578.91,9.51628,20,58.30
1741.99,243.51,358.235,3.98533,20,58.30
1066.74,233.99,24.901,1.18566,20,58.30
1253.34,231.35,30.1296,1.51779,20,58.30
1767.82,205.66,3988.24,8.70643,20,58.30
1556.53,205.98,1158.23,6.95178,20,58.30
1402.61,204.47,370.276,4.82157,20,58.30
1596.6,200.78,81.3369,3.34421,20,58.30
1502.79,197.86,97.5995,2.38261,20,58.30
804.98,193.6,493.488,4.14781,20,58.30
180.85,175.76,11386.8,12.6573,20,58.30
1573.54,166.39,150.607,2.7095,20,58.30
1239.58,153.18,58.6805,2.10701,20,58.30
507.89,141.48,313.831,3.99435,20,58.30
1534.61,135.25,192.732,3.10882,20,58.30
1005.03,122.89,36.9126,1.85767,20,58.30
1385.22,115.29,57.1368,2.4053,20,58.30
488.25,100.59,3180.18,7.83922,20,58.30
78.5,100.41,141.472,2.89382,20,58.30
1858.67,92.81,54.8289,2.63114,20,58.30
1068.27,86.93,295.617,3.32456,20,58.30
230.57,88.61,106.576,2.20673,20,58.30
1045.18,73.12,2487.38,7.20527,20,58.30
423.28,75.54,176.261,3.26781,20,58.30
1318.19,72.35,48.6811,2.40988,20,58.30
197.44,60.24,176.265,2.99254,20,58.30
630.25,56.69,637.572,4.85443,20,58.30
751.41,38.05,11800.4,26.7038,20,58.30
347.65,43.85,27.7341,1.89636,20,58.30
1595.63,42.08,51.6816,2.14173,20,58.30
1046.63,33.89,1963.48,6.39019,20,58.30
275.93,23.67,299.823,3.11995,20,58.30
1462.91,17.09,52.2399,1.91966,20,58.30
1002.95,8,1135.33,5.11887,20,58.30
502.26,12.61,26.7027,2.06278,20,58.30
1483.94,1042.24,1336.71,5.78906,20,58.30
1500.81,1039.8,223.323,4.10476,20,58.30
862.78,668.71,557.78,4.93707,20,58.30
871.1,653.37,3698.62,8.98151,20,58.30
57.98,577.43,3528.14,8.63638,20,58.30
62.96,555.52,2035.45,7.37293,20,58.30
859.22,474.74,186.507,3.26427,20,58.30
872.31,474.69,116.058,3.21978,20,58.30
