spot,x,y,luminosity,error,T,v
4,683.7,69.55,156.333,5.86358,20.0,9.0
4,683.7,69.55,71.9725,5.94619,22.0,7.0
4,683.7,69.55,176.513,5.8625,22.0,9.0
5,844.9,69.81,1.30638,5.87266,16.0,7.0
5,844.9,69.81,43.5067,5.96547,16.0,9.0
5,844.9,69.81,10.4066,5.92793,18.0,7.0
5,844.9,69.81,46.9507,5.89607,18.0,9.0
5,844.9,69.81,17.4389,5.80511,20.0,7.0
5,844.9,69.81,45.4654,5.93779,20.0,9.0
5,844.9,69.81,15.172,6.08579,22.0,7.0
5,844.9,69.81,45.0079,5.94545,22.0,9.0
6,1078.76,182.4,101.385,5.87458,16.0,7.0
6,1078.76,182.4,256.071,5.89527,16.0,9.0
6,1078.76,182.4,102.035,5.84897,18.0,7.0
6,1078.76,182.4,298.356,5.9443,18.0,9.0
6,1078.76,182.4,116.904,5.97389,20.0,7.0
6,1078.76,182.4,336.51,5.9635,20.0,9.0
6,1078.76,182.4,123.635,6.11321,22.0,7.0
6,1078.76,182.4,361.706,6.04903,22.0,9.0
7,1138.88,649.41,29.8373,5.81074,16.0,7.0
7,1138.88,649.41,63.4791,5.58811,16.0,9.0
7,1138.88,649.41,29.1284,5.69405,18.0,7.0
7,1138.88,649.41,64.0195,5.67109,18.0,9.0
7,1138.88,649.41,38.36,5.6603,20.0,7.0
7,1138.88,649.41,75.5858,5.64909,20.0,9.0
7,1138.88,649.41,44.8146,5.78612,22.0,7.0
7,1138.88,649.41,86.1201,5.60854,22.0,9.0
8,1205.53,225.4,14.454,6.2467,16.0,7.0
8,1205.53,225.4,19.4266,6.60105,16.0,9.0
8,1205.53,225.4,7.07805,6.28815,18.0,7.0
8,1205.53,225.4,26.9934,6.38063,18.0,9.0
8,1205.53,225.4,-1.17757,6.34001,20.0,7.0
8,1205.53,225.4,22.5107,6.78395,20.0,9.0
8,1205.53,225.4,6.27466,6.75978,22.0,7.0
8,1205.53,225.4,27.4522,6.85976,22.0,9.0
9,1328.97,313.79,17.7509,6.01433,16.0,7.0
9,1328.97,313.79,52.9267,5.92246,16.0,9.0
9,1328.97,313.79,15.8179,6.01411,18.0,7.0
9,1328.97,313.79,60.3643,6.05404,18.0,9.0
9,1328.97,313.79,29.2091,5.978,20.0,7.0
9,1328.97,313.79,71.6864,5.95325,20.0,9.0
9,1328.97,313.79,27.9036,6.11239,22.0,7.0
9,1328.97,313.79,77.3596,5.99251,22.0,9.0
10,1402.55,474.6,39.9751,7.05842,16.0,7.0
10,1402.55,474.6,95.2268,6.74779,16.0,9.0
10,1402.55,474.6,49.463,6.68234,18.0,7.0
10,1402.55,474.6,112.1,6.82662,18.0,9.0
10,1402.55,474.6,54.0359,6.49767,20.0,7.0
10,1402.55,474.6,119.557,6.79414,20.0,9.0
10,1402.55,474.6,60.5313,6.71567,22.0,7.0
10,1402.55,474.6,142.065,6.65326,22.0,9.0
11,1497.28,263.02,11.8023,5.58129,16.0,7.0
11,1497.28,263.02,44.2092,5.63037,16.0,9.0
11,1497.28,263.02,28.5282,5.61276,18.0,7.0
11,1497.28,263.02,49.309,5.57488,18.0,9.0
11,1497.28,263.02,24.8879,5.60343,20.0,7.0
11,1497.28,263.02,47.7853,5.63773,20.0,9.0
11,1497.28,263.02,21.9633,5.85345,22.0,7.0
11,1497.28,263.02,67.4919,5.57117,22.0,9.0
12,1808.82,174.94,40.6298,5.59084,16.0,7.0
12,1808.82,174.94,117.725,5.49126,16.0,9.0
12,1808.82,174.94,58.0594,5.54256,18.0,7.0
12,1808.82,174.94,130.251,5.52509,18.0,9.0
12,1808.82,174.94,56.0979,5.50945,20.0,7.0
12,1808.82,174.94,145.921,5.4887,20.0,9.0
12,1808.82,174.94,61.899,5.74307,22.0,7.0
12,1808.82,174.94,164.547,5.42317,22.0,9.0
