spot,x,y,luminosity,error,T,v,phase,detection,status,integration_radius,integration_area,run_number,match_distance,geometry_source_phase,geometry_source_run,geometry_mode,deltaL1,deltaL2,deltaL,lambda,lambda_stat_error,deltaLambda,A,A_stat_error,fit_chi2,fit_ndf,fit_chi2ndf,fit_status,covmatrix_status,edm,fit_converged
19,650.24,575.75,641.23,1.93865,23.0,56.46,annealing_T=125_h=25,present,present,20.0,1256.6370614359173,20260828-044900,0.494772675074138,annealing_T=125_h=25,20260828-044900,phase_detection,8.524,19.303,19.303,0.0664748,0.000800428,0.000622084,138.877,2.30107,42.1866,2,21.0933,0,3,4.86731e-06,1
20,661.7,690.1,34.1098,1.87133,17.0,56.13,annealing_T=125_h=25,present,present,20.0,1256.6370614359173,20260828-044900,0.8028075734571489,annealing_T=125_h=25,20260828-044900,phase_detection,0.6537,1.0554,1.0554,0.0497849,0.00876742,0.00885807,16.5164,3.02109,15.5501,2,7.77506,0,3,4.29096e-06,1
20,661.7,690.1,48.2547,1.91887,19.0,56.24,annealing_T=125_h=25,present,present,20.0,1256.6370614359173,20260828-044900,0.8028075734571489,annealing_T=125_h=25,20260828-044900,phase_detection,0.53,1.7116,1.7116,0.0497849,0.00876742,0.00885807,16.5164,3.02109,15.5501,2,7.77506,0,3,4.29096e-06,1
20,661.7,690.1,47.7848,1.71421,21.0,56.35,annealing_T=125_h=25,present,present,20.0,1256.6370614359173,20260828-044900,0.8028075734571489,annealing_T=125_h=25,20260828-044900,phase_detection,1.0168,2.1499,2.1499,0.0497849,0.00876742,0.00885807,16.5164,3.02109,15.5501,2,7.77506,0,3,4.29096e-06,1
20,661.7,690.1,50.318,1.64334,23.0,56.46,annealing_T=125_h=25,present,present,20.0,1256.6370614359173,20260828-044900,0.8028075734571489,annealing_T=125_h=25,20260828-044900,phase_detection,2.8473,3.1365,3.1365,0.0497849,0.00876742,0.00885807,16.5164,3.02109,15.5501,2,7.77506,0,3,4.29096e-06,1
21,808.45,588.77,119.598,2.20245,17.0,56.13,annealing_T=125_h=25,present,present,20.0,1256.6370614359173,20260828-044900,0.6370243323453826,annealing_T=125_h=25,20260828-044900,phase_detection,5.419,2.139,5.419,0.100996,0.00324133,0.0015803,20.2981,1.38415,56.3836,2,28.1918,0,3,9.7991e-09,1
21,808.45,588.77,138.669,1.95797,19.0,56.24,annealing_T=125_h=25,present,present,20.0,1256.6370614359173,20260828-044900,0.6370243323453826,annealing_T=125_h=25,20260828-044900,phase_detection,2.12,8.972,8.972,0.100996,0.00324133,0.0015803,20.2981,1.38415,56.3836,2,28.1918,0,3,9.7991e-09,1
21,808.45,588.77,156.521,2.104,21.0,56.35,annealing_T=125_h=25,present,present,20.0,1256.6370614359173,20260828-044900,0.6370243323453826,annealing_T=125_h=25,20260828-044900,phase_detection,5.483,4.655,5.483,0.100996,0.00324133,0.0015803,20.2981,1.38415,56.3836,2,28.1918,0,3,9.7991e-09,1
21,808.45,588.77,214.09,2.11913,23.0,56.46,annealing_T=125_h=25,present,present,20.0,1256.6370614359173,20260828-044900,0.6370243323453826,annealing_T=125_h=25,20260828-044900,phase_detection,2.871,10.425,10.425,0.100996,0.00324133,0.0015803,20.2981,1.38415,56.3836,2,28.1918,0,3,9.7991e-09,1
22,817.37,315.04,-11.2479,2.13173,17.0,56.13,annealing_T=125_h=25,absent,disappeared,20.0,1256.6370614359173,20260828-044900,2.1791053209975395,annealing_T=100_h=25,20260702-101218,previous_detection,4.7115,2.88375,4.7115,0.101431,0.0482706,0.139982,-1.47068,1.4962,10.4804,2,5.2402,0,3,1.08683e-05,1
22,817.37,315.04,-9.90053,2.05607,19.0,56.24,annealing_T=125_h=25,absent,disappeared,20.0,1256.6370614359173,20260828-044900,2.1791053209975395,annealing_T=100_h=25,20260702-101218,previous_detection,7.87377,0.0854,7.87377,0.101431,0.0482706,0.139982,-1.47068,1.4962,10.4804,2,5.2402,0,3,1.08683e-05,1
22,817.37,315.04,-7.15238,2.0517,21.0,56.35,annealing_T=125_h=25,absent,disappeared,20.0,1256.6370614359173,20260828-044900,2.1791053209975395,annealing_T=100_h=25,20260702-101218,previous_detection,5.3254,0.2976,5.3254,0.101431,0.0482706,0.139982,-1.47068,1.4962,10.4804,2,5.2402,0,3,1.08683e-05,1
22,817.37,315.04,-18.0799,2.06054,23.0,56.46,annealing_T=125_h=25,absent,disappeared,20.0,1256.6370614359173,20260828-044900,2.1791053209975395,annealing_T=100_h=25,20260702-101218,previous_detection,0.0133,5.4973,5.4973,0.101431,0.0482706,0.139982,-1.47068,1.4962,10.4804,2,5.2402,0,3,1.08683e-05,1
23,868.75,1008.84,57.5037,1.85948,17.0,56.13,annealing_T=125_h=25,present,present,20.0,1256.6370614359173,20260828-044900,0.7495331880577017,annealing_T=125_h=25,20260828-044900,phase_detection,3.2588,0.1932,3.2588,-0.0263178,0.00852048,0.0375103,92.5752,15.4513,65.8564,2,32.9282,0,3,9.83807e-07,1
23,868.75,1008.84,64.6618,1.97021,19.0,56.24,annealing_T=125_h=25,present,present,20.0,1256.6370614359173,20260828-044900,0.7495331880577017,annealing_T=125_h=25,20260828-044900,phase_detection,7.8681,4.3458,7.8681,-0.0263178,0.00852048,0.0375103,92.5752,15.4513,65.8564,2,32.9282,0,3,9.83807e-07,1
23,868.75,1008.84,40.5772,2.05504,21.0,56.35,annealing_T=125_h=25,present,present,20.0,1256.6370614359173,20260828-044900,0.7495331880577017,annealing_T=125_h=25,20260828-044900,phase_detection,5.6298,12.069,12.069,-0.0263178,0.00852048,0.0375103,92.5752,15.4513,65.8564,2,32.9282,0,3,9.83807e-07,1
23,868.75,1008.84,56.8653,2.20627,23.0,56.46,annealing_T=125_h=25,present,present,20.0,1256.6370614359173,20260828-044900,0.7495331880577017,annealing_T=125_h=25,20260828-044900,phase_detection,1.3473,8.9363,8.9363,-0.0263178,0.00852048,0.0375103,92.5752,15.4513,65.8564,2,32.9282,0,3,9.83807e-07,1
24,1007.39,122.57,8.38383,2.05091,17.0,56.13,annealing_T=125_h=25,absent,disappeared,20.0,1256.6370614359173,20260828-044900,2.411742108932884,annealing_T=100_h=25,20260702-101218,previous_detection,7.14119,3.84014,7.14119,-0.36762,0.16783,0,4529.26,13421.2,55.9846,2,27.9923,0,3,1.71632e-06,1
24,1007.39,122.57,2.97577,2.04252,19.0,56.24,annealing_T=125_h=25,absent,disappeared,20.0,1256.6370614359173,20260828-044900,2.411742108932884,annealing_T=100_h=25,20260702-101218,previous_detection,0.2808,3.76953,3.76953,-0.36762,0.16783,0,4529.26,13421.2,55.9846,2,27.9923,0,3,1.71632e-06,1
24,1007.39,122.57,11.4429,2.00139,21.0,56.35,annealing_T=125_h=25,absent,disappeared,20.0,1256.6370614359173,20260828-044900,2.411742108932884,annealing_T=100_h=25,20260702-101218,previous_detection,3.9942,1.1765,3.9942,-0.36762,0.16783,0,4529.26,13421.2,55.9846,2,27.9923,0,3,1.71632e-06,1
24,1007.39,122.57,-10.7441,2.02628,23.0,56.46,annealing_T=125_h=25,absent,disappeared,20.0,1256.6370614359173,20260828-044900,2.411742108932884,annealing_T=100_h=25,20260702-101218,previous_detection,3.0754,4.01254,4.01254,-0.36762,0.16783,0,4529.26,13421.2,55.9846,2,27.9923,0,3,1.71632e-06,1
25,1049.47,957.5,24.1433,2.11198,17.0,56.13,annealing_T=125_h=25,absent,disappeared,20.0,1256.6370614359173,20260828-044900,2.003846301491163,annealing_T=100_h=25,20260702-101218,previous_detection,0.0396,3.6589,3.6589,0.118972,0.0144959,0.00153886,3.25475,1.0005,6.34422,2,3.17211,0,3,1.24216e-07,1
25,1049.47,957.5,34.6659,2.29925,19.0,56.24,annealing_T=125_h=25,absent,disappeared,20.0,1256.6370614359173,20260828-044900,2.003846301491163,annealing_T=100_h=25,20260702-101218,previous_detection,3.663,1.0375,3.663,0.118972,0.0144959,0.00153886,3.25475,1.0005,6.34422,2,3.17211,0,3,1.24216e-07,1
25,1049.47,957.5,35.3486,2.24334,21.0,56.35,annealing_T=125_h=25,absent,disappeared,20.0,1256.6370614359173,20260828-044900,2.003846301491163,annealing_T=100_h=25,20260702-101218,previous_detection,1.318,1.9113,1.9113,0.118972,0.0144959,0.00153886,3.25475,1.0005,6.34422,2,3.17211,0,3,1.24216e-07,1
25,1049.47,957.5,51.724,2.21044,23.0,56.46,annealing_T=125_h=25,absent,disappeared,20.0,1256.6370614359173,20260828-044900,2.003846301491163,annealing_T=100_h=25,20260702-101218,previous_detection,2.5883,3.7024,3.7024,0.118972,0.0144959,0.00153886,3.25475,1.0005,6.34422,2,3.17211,0,3,1.24216e-07,1
26,1052.12,803.81,15.2697,1.95564,17.0,56.13,annealing_T=125_h=25,absent,disappeared,20.0,1256.6370614359173,20260828-044900,2.5904825805243177,annealing_T=100_h=25,20260702-101218,previous_detection,6.77055,1.5684,6.77055,-0.124252,0.0801323,0.0761683,101.086,153.318,27.9064,2,13.9532,0,3,3.08141e-06,1
26,1052.12,803.81,6.97317,1.69569,19.0,56.24,annealing_T=125_h=25,absent,disappeared,20.0,1256.6370614359173,20260828-044900,2.5904825805243177,annealing_T=100_h=25,20260702-101218,previous_detection,3.61583,0.2592,3.61583,-0.124252,0.0801323,0.0761683,101.086,153.318,27.9064,2,13.9532,0,3,3.08141e-06,1
26,1052.12,803.81,0.71057,2.02891,21.0,56.35,annealing_T=125_h=25,absent,disappeared,20.0,1256.6370614359173,20260828-044900,2.5904825805243177,annealing_T=100_h=25,20260702-101218,previous_detection,6.44796,2.92327,6.44796,-0.124252,0.0801323,0.0761683,101.086,153.318,27.9064,2,13.9532,0,3,3.08141e-06,1
26,1052.12,803.81,12.2761,1.85327,23.0,56.46,annealing_T=125_h=25,absent,disappeared,20.0,1256.6370614359173,20260828-044900,2.5904825805243177,annealing_T=100_h=25,20260702-101218,previous_detection,1.1216,0.8807,1.1216,-0.124252,0.0801323,0.0761683,101.086,153.318,27.9064,2,13.9532,0,3,3.08141e-06,1
27,1069.15,234.33,-4.59513,1.59651,17.0,56.13,annealing_T=125_h=25,absent,disappeared,20.0,1256.6370614359173,20260828-044900,2.1005237442124094,annealing_T=100_h=25,20260702-101218,previous_detection,0.03994,0.20371,0.20371,-0.739254,0.312821,0.704641,-1.32361e+06,7.08009e+06,11.3587,2,5.67935,1,2,5.52334e-07,0
27,1069.15,234.33,-1.44386,1.69386,19.0,56.24,annealing_T=125_h=25,absent,disappeared,20.0,1256.6370614359173,20260828-044900,2.1005237442124094,annealing_T=100_h=25,20260702-101218,previous_detection,3.76932,3.80587,3.80587,-0.739254,0.312821,0.704641,-1.32361e+06,7.08009e+06,11.3587,2,5.67935,1,2,5.52334e-07,0
27,1069.15,234.33,3.05176,2.00374,21.0,56.35,annealing_T=125_h=25,absent,disappeared,20.0,1256.6370614359173,20260828-044900,2.1005237442124094,annealing_T=100_h=25,20260702-101218,previous_detection,4.58897,0.44373,4.58897,-0.739254,0.312821,0.704641,-1.32361e+06,7.08009e+06,11.3587,2,5.67935,1,2,5.52334e-07,0
