spot,x,y,phase,A,A_stat_error,lambda,lambda_stat_error,deltaLambda,chi2,ndf,chi2ndf,prob,fit_status,covmatrix_status,edm,converged
15,502.79,999.04,annealing_T=125_h=25,-1.2157e-18,3.30241e-20,1.89821,0.00117995,1.7108,30.2909,2,15.1455,2.64489e-07,1,2,6.48642e-07,0
16,596.32,529.42,annealing_T=125_h=25,0.159762,0.0985552,0.232132,0.0282087,0.0547616,16.2202,2,8.11012,0.000300483,0,3,7.14443e-06,1
17,610.63,337.22,annealing_T=125_h=25,7.95286,7.5444,0.012442,0.0462949,0.101185,7.97278,2,3.98639,0.0185667,0,3,9.84827e-07,1
18,650.29,441.56,annealing_T=125_h=25,18.7677,2.087,0.0765277,0.00531843,0.0043911,19.0155,2,9.50773,7.42758e-05,0,3,1.5529e-08,1
19,650.24,575.75,annealing_T=125_h=25,138.877,2.30107,0.0664748,0.000800428,0.000622084,42.1866,2,21.0933,6.90723e-10,0,3,4.86731e-06,1
20,661.7,690.1,annealing_T=125_h=25,16.5164,3.02109,0.0497849,0.00876742,0.00885807,15.5501,2,7.77506,0.000420084,0,3,4.29096e-06,1
21,808.45,588.77,annealing_T=125_h=25,20.2981,1.38415,0.100996,0.00324133,0.0015803,56.3836,2,28.1918,5.70763e-13,0,3,9.7991e-09,1
22,817.37,315.04,annealing_T=125_h=25,-1.47068,1.4962,0.101431,0.0482706,0.139982,10.4804,2,5.2402,0.00529919,0,3,1.08683e-05,1
23,868.75,1008.84,annealing_T=125_h=25,92.5752,15.4513,-0.0263178,0.00852048,0.0375103,65.8564,2,32.9282,5.00563e-15,0,3,9.83807e-07,1
24,1007.39,122.57,annealing_T=125_h=25,4529.26,13421.2,-0.36762,0.16783,0,55.9846,2,27.9923,6.96792e-13,0,3,1.71632e-06,1
25,1049.47,957.5,annealing_T=125_h=25,3.25475,1.0005,0.118972,0.0144959,0.00153886,6.34422,2,3.17211,0.041915,0,3,1.24216e-07,1
26,1052.12,803.81,annealing_T=125_h=25,101.086,153.318,-0.124252,0.0801323,0.0761683,27.9064,2,13.9532,8.71389e-07,0,3,3.08141e-06,1
27,1069.15,234.33,annealing_T=125_h=25,-1.32361e+06,7.08009e+06,-0.739254,0.312821,0.704641,11.3587,2,5.67935,0.00341578,1,2,5.52334e-07,0
28,1088.23,912.11,annealing_T=125_h=25,6.50572e+13,0,-1.7935,0,0,19.1932,2,9.59661,6.79588e-05,4,0,2.91592e-06,0
29,1089.65,689.1,annealing_T=125_h=25,11.4033,1.00892,0.105947,0.00419611,0.019552,16.9893,2,8.49463,0.000204564,0,3,6.75591e-07,1
30,1149.57,430.34,annealing_T=125_h=25,20.0915,3.59556,0.0437633,0.00866,0.0097417,38.3677,2,19.1838,4.66192e-09,0,3,2.63052e-08,1
31,1170.1,241.19,annealing_T=125_h=25,308.164,3.54547,0.0465741,0.000560913,0.00194388,25.9999,2,13,2.2604e-06,0,3,6.7578e-06,1
32,1180.82,594.91,annealing_T=125_h=25,1.52884,2.04491,0.1016,0.0641296,0.347499,58.6395,2,29.3197,1.84755e-13,0,3,9.45894e-06,1
33,1228.01,668.95,annealing_T=125_h=25,0.0628943,0.19433,0.192668,0.142141,0.830419,4.53986,2,2.26993,0.103319,0,3,1.80513e-06,1
34,1242.2,153.93,annealing_T=125_h=25,3.49667,1.96011,0.0874053,0.0267842,0.134707,67.9557,2,33.9778,1.75231e-15,0,3,3.22183e-08,1
35,1245.35,483.98,annealing_T=125_h=25,1.17011,1,0.141821,1.01712,0.0500319,97.1522,2,48.5761,8.0105e-22,3,1,33.6788,0
36,1255.97,595.66,annealing_T=125_h=25,-2.69403e-23,3.95373e-23,2.3465,0.0654876,0,14.5812,2,7.29059,0.000681928,4,1,0.00106152,0
37,1255.51,234.77,annealing_T=125_h=25,1977.45,6504.42,-0.32104,0.183744,0.62217,5.26522,2,2.63261,0.0718905,0,3,1.06173e-05,1
38,1267.76,413.31,annealing_T=125_h=25,3.45543,1.13784,0.0990594,0.0156046,0.0198386,60.0522,2,30.0261,9.11647e-14,0,3,5.53654e-08,1
39,1287.56,876.27,annealing_T=125_h=25,0.159418,0.156872,0.201529,0.0452916,0.081002,8.51921,2,4.2596,0.0141279,0,3,1.20549e-07,1
40,1293.51,322.06,annealing_T=125_h=25,36.9683,4.18098,0.0332854,0.00549577,0.017312,1.23072,2,0.615362,0.540445,0,3,1.0593e-08,1
41,1321.6,76.13,annealing_T=125_h=25,0.405518,1.02173,0.0742206,0.118518,0,97.5605,2,48.7802,6.53143e-22,0,3,8.88051e-06,1
42,1373.17,812.62,annealing_T=125_h=25,58094.4,7449.84,-0.335132,0.00720914,0.0189016,289.939,2,144.97,1.09764e-63,0,3,1.54343e-08,1
43,1376.56,912.64,annealing_T=125_h=25,27.0285,6.07476,0.0196859,0.0110842,0.0530125,13.3375,2,6.66876,0.00126997,0,3,7.93292e-06,1
44,1497.61,507.96,annealing_T=125_h=25,27.7385,2.71691,0.0557277,0.00478983,0.00756296,25.773,2,12.8865,2.53194e-06,0,3,3.21816e-06,1
45,1502.88,866.45,annealing_T=125_h=25,0.445788,0.358745,0.158035,0.0372791,0.0987113,3.86863,2,1.93432,0.144523,0,3,6.13251e-06,1
46,1537.56,405.87,annealing_T=125_h=25,-560.209,401.976,-0.199165,0.0391819,0.0566154,30.7365,2,15.3682,2.11668e-07,0,3,1.4492e-07,1
47,1584.63,812.68,annealing_T=125_h=25,122.451,94.8362,-0.116919,0.0405261,0.0762094,15.8819,2,7.94097,0.00035586,0,3,3.00794e-07,1
48,1585.61,651.71,annealing_T=125_h=25,-6.25042,4.87388,0.00927029,0.0386593,0.0980017,126.886,2,63.4428,2.79988e-28,0,3,3.69508e-06,1
49,1618.59,705.34,annealing_T=125_h=25,-8.82752e+11,5.56858e+12,-1.47229,0.381444,0,29.6208,2,14.8104,3.69756e-07,4,1,2.90953e-05,0
50,1733.46,724.63,annealing_T=125_h=25,40.4539,2.34068,0.0694319,0.00280906,0.00441743,11.6142,2,5.8071,0.00300613,0,3,7.5054e-06,1
51,1773.56,478.34,annealing_T=125_h=25,1.38527,0.951571,0.125011,0.0325808,0.0862325,42.8706,2,21.4353,4.90651e-10,0,3,1.22501e-06,1
52,1783.69,557.73,annealing_T=125_h=25,19.2026,2.19064,0.0668687,0.00551199,0.0126631,23.9978,2,11.9989,6.15096e-06,0,3,1.01569e-06,1
53,1821.41,358.68,annealing_T=125_h=25,166.582,3.33923,0.0528428,0.000971434,0.00208987,78.4262,2,39.2131,9.33198e-18,0,3,2.41486e-09,1
54,1822.18,995.34,annealing_T=125_h=25,653.82,73.5902,-0.114859,0.00579148,0.0098801,791.304,2,395.652,1.48055e-172,0,3,4.89357e-08,1
55,1851.7,559.77,annealing_T=125_h=25,26.8973,4.0093,0.0494,0.00722393,0.0145893,17.0278,2,8.51391,0.000200657,0,3,1.09248e-09,1
56,94.92,354.44,annealing_T=125_h=25,43.3006,20.295,-0.0366396,0.0234666,0.0138582,12.6626,2,6.3313,0.00177972,0,3,8.44384e-06,1
57,456.85,767.35,annealing_T=125_h=25,8.8953,3.23939,0.0522661,0.0176924,0.0401727,21.1483,2,10.5742,2.55679e-05,0,3,7.28476e-06,1
58,515.36,884.13,annealing_T=125_h=25,38.0015,2.19401,0.0759865,0.00276102,0.00396475,6.62077,2,3.31039,0.0365021,0,3,2.34963e-07,1
59,701.14,368.89,annealing_T=125_h=25,7.87874e+14,9.05951e+14,-1.84163,0.0743031,0,36.9743,2,18.4871,9.35703e-09,4,1,0.00718852,0
60,740.09,314.55,annealing_T=125_h=25,-0.00251184,0.00480328,0.374328,0.0849246,0.136326,27.3755,2,13.6878,1.13628e-06,0,3,9.04287e-07,1
61,908.81,733.21,annealing_T=125_h=25,24.8769,1.69093,0.0798752,0.00327076,0.00794394,90.9663,2,45.4832,1.76567e-20,0,3,1.46924e-07,1
62,1177.47,929.7,annealing_T=125_h=25,11.4126,3.85047,0.0366618,0.0164767,0.04802,3.18611,2,1.59306,0.203304,0,3,1.11797e-07,1
63,1323.28,531.27,annealing_T=125_h=25,8.83119,17.9824,-0.0514614,0.103309,0,23.4906,2,11.7453,7.92654e-06,0,3,1.51813e-06,1
64,1654.27,629.22,annealing_T=125_h=25,0.000129445,0.00112391,0.455073,0.3837,0,8.21926,2,4.10963,0.0164138,0,3,1.74829e-06,1
65,1845.3,891.11,annealing_T=125_h=25,727.153,15.1561,-0.0203454,0.00107302,0.00877858,11218.1,2,5609.03,0,0,3,1.51106e-06,1
66,587.06,497.01,annealing_T=125_h=25,11.7091,3.74213,0.044298,0.0155914,0.0263934,66.7489,2,33.3745,3.20369e-15,0,3,8.56808e-07,1
67,1464.37,947.7,annealing_T=125_h=25,8554.58,33253.3,-0.39067,0.222253,0.167545,4.7064,2,2.3532,0.0950643,0,3,2.77506e-06,1
68,1618.37,989.55,annealing_T=125_h=25,69.629,2.17286,0.0719004,0.00150892,0.00232479,36.2589,2,18.1294,1.3381e-08,0,3,1.18254e-08,1
69,1089.08,524.55,annealing_T=125_h=25,85.6027,1.57894,0.0793429,0.000887082,0.00372787,1.13432,2,0.567158,0.567135,0,3,2.23843e-07,1
70,1387.85,117,annealing_T=125_h=25,114.42,156.111,-0.14173,0.0719974,0.0604711,3.41175,2,1.70588,0.181613,0,3,1.19644e-07,1
71,1404.83,206.26,annealing_T=125_h=25,-0.0164498,0.0409946,0.271639,0.112887,0.045508,1.33008,2,0.665039,0.514253,0,3,1.53261e-06,1
72,1425.9,351.88,annealing_T=125_h=25,-13.664,9.65432,-0.00955471,0.0350489,0.032816,13.5197,2,6.75986,0.00115939,0,3,1.87096e-07,1
73,636.75,916.39,annealing_T=125_h=25,9.80113,3.39991,0.0477478,0.0169449,0.0525002,65.6396,2,32.8198,5.57884e-15,0,3,1.25224e-07,1
74,860.27,475.48,annealing_T=125_h=25,6.39256,0.696597,0.12277,0.00522777,0.0220498,5.68485,2,2.84242,0.0582843,0,3,1.12049e-07,1
75,1177.23,652.6,annealing_T=125_h=25,-4.43999,16.7718,-0.0711789,0.188827,0.177651,30.6717,2,15.3359,2.18637e-07,0,3,3.45868e-06,1
76,1598.55,321.37,annealing_T=125_h=25,-0.00103144,0.00231451,0.406393,0.0993408,0.956262,15.3936,2,7.69682,0.00045427,0,3,2.81187e-07,1
77,1679.57,255.7,annealing_T=125_h=25,10.8851,2.91491,0.0564169,0.0129368,0.03418,1.34433,2,0.672163,0.510603,0,3,1.59137e-07,1
78,1723.33,806.39,annealing_T=125_h=25,3.50664,0.993031,0.108311,0.0134164,0.012939,10.8876,2,5.44379,0.00432306,0,3,1.86261e-06,1
79,573.94,124.39,annealing_T=125_h=25,12.2958,2.01422,0.0800702,0.00780048,0.0144456,7.24472,2,3.62236,0.0267195,0,3,9.71625e-06,1
80,831.57,886.47,annealing_T=125_h=25,1.50956e+06,214075,-0.420579,0.00814364,0.047521,44699,2,22349.5,0,0,3,3.98568e-05,1
81,913.25,408.38,annealing_T=125_h=25,79722,3830.01,-0.273615,0.00258255,0.0785811,33016.1,2,16508.1,0,0,3,2.66313e-07,1
82,1537.11,139.07,annealing_T=125_h=25,0.275399,0.137638,0.215162,0.0229003,0.0871773,39.696,2,19.848,2.39951e-09,0,3,4.7004e-07,1
83,1558.55,210.1,annealing_T=125_h=25,41.6852,3.17037,0.0511715,0.00369117,0.00603381,19.8365,2,9.91826,4.92668e-05,0,3,1.60479e-07,1
84,1735.76,910.82,annealing_T=125_h=25,34.1282,1.91889,0.0814066,0.00268141,0.00733651,10.0754,2,5.03768,0.0064888,0,3,1.6296e-08,1
85,1769.97,210.83,annealing_T=125_h=25,41.7597,1.83856,0.0764242,0.00214101,0.00488555,5.16429,2,2.58215,0.0756116,0,3,5.38068e-09,1
86,490.02,98.85,annealing_T=125_h=25,47.8059,2.11099,0.0759309,0.00211435,0.00227004,6.94699,2,3.4735,0.0310084,0,3,9.62795e-09,1
87,792.1,250.31,annealing_T=125_h=25,9.30426,1.94685,0.0809129,0.00999054,0.0208331,40.5826,2,20.2913,1.54024e-09,0,3,1.14536e-06,1
88,1096.47,199.77,annealing_T=125_h=25,2.34352,4.67689,0.0105983,0.099084,0,41.2384,2,20.6192,1.10968e-09,0,3,3.79555e-06,1
