1266.38, 412.01, 42.00, 3.66
1536.02, 403.06, 79.00, 5.01
374.81, 373.10, 55.00, 4.18
1386.60, 370.19, 102.00, 5.70
94.01, 359.85, 209.00, 8.16
699.90, 367.50, 51.00, 4.03
253.43, 355.42, 212.00, 8.21
1819.91, 353.60, 285.00, 9.52
1424.08, 350.48, 72.00, 4.79
609.00, 337.73, 42.00, 3.66
114.41, 324.37, 32.00, 3.19
1291.97, 319.28, 87.00, 5.26
815.25, 316.46, 103.00, 5.73
1891.56, 287.35, 305.00, 9.85
334.77, 290.87, 59.00, 4.33
1698.70, 280.36, 32.00, 3.19
1651.84, 275.70, 66.00, 4.58
138.14, 261.34, 70.00, 4.72
1888.53, 251.73, 425.00, 11.63
235.57, 247.70, 386.00, 11.08
790.67, 251.07, 97.00, 5.56
1168.46, 239.14, 680.00, 14.71
1741.41, 243.66, 215.00, 8.27
1066.36, 234.65, 49.00, 3.95
1253.84, 231.85, 51.00, 4.03
1768.01, 205.69, 621.00, 14.06
1556.99, 206.04, 355.00, 10.63
1402.70, 204.82, 191.00, 7.80
1597.25, 200.98, 90.00, 5.35
805.65, 194.38, 216.00, 8.29
181.18, 175.93, 1093.00, 18.65
1502.73, 198.28, 88.00, 5.29
158.30, 181.44, 31.00, 3.14
157.24, 170.07, 83.00, 5.14
1359.76, 168.68, 49.00, 3.95
1573.67, 166.48, 122.00, 6.23
1239.71, 153.21, 64.00, 4.51
507.98, 141.53, 176.00, 7.48
1535.01, 135.21, 144.00, 6.77
1005.57, 123.06, 53.00, 4.11
1385.15, 115.91, 88.00, 5.29
489.10, 100.27, 607.00, 13.90
78.28, 100.74, 103.00, 5.73
1858.38, 93.07, 75.00, 4.89
230.83, 88.82, 97.00, 5.56
423.33, 76.31, 149.00, 6.89
1319.15, 72.36, 65.00, 4.55
197.80, 60.56, 130.00, 6.43
630.41, 56.63, 225.00, 8.46
750.88, 38.70, 1425.00, 21.30
1047.10, 34.81, 441.00, 11.85
347.76, 44.34, 50.00, 3.99
1596.05, 42.48, 66.00, 4.58
275.16, 23.34, 193.00, 7.84
1463.37, 17.36, 61.00, 4.41
1003.33, 8.36, 290.00, 9.61
502.21, 12.71, 55.00, 4.18
1484.31, 1042.29, 299.00, 9.76
1500.67, 1039.91, 168.00, 7.31
832.65, 885.59, 476.00, 12.31
851.09, 885.61, 122.00, 6.23
1732.59, 742.11, 127.00, 6.36
1733.73, 719.54, 1007.00, 17.90
863.18, 669.22, 294.00, 9.67
870.83, 652.80, 754.00, 15.49
58.41, 577.30, 520.00, 12.87
63.56, 556.13, 442.00, 11.86
57.76, 535.01, 305.00, 9.85
859.55, 474.92, 143.00, 6.75
872.23, 475.15, 105.00, 5.78
1067.71, 86.88, 232.00, 8.59
1045.70, 73.82, 497.00, 12.58
