spot,x,y,luminosity,error,T,v
40,652.34,444.47,141.802,10.3666,23,5
41,653.52,578.29,1303.2,34.8915,17,5
41,653.52,578.29,1458.29,36.129,19,5
41,653.52,578.29,1653.76,39.1974,21,5
41,653.52,578.29,1859.42,40.186,23,5
42,665.2,692.73,32.8662,5.00716,17,5
42,665.2,692.73,42.4417,4.93361,19,5
42,665.2,692.73,50.7102,5.3989,21,5
42,665.2,692.73,56.0248,5.4028,23,5
43,674.89,909.27,36.7566,5.67905,17,5
43,674.89,909.27,42.5264,5.43573,19,5
43,674.89,909.27,51.1954,5.46956,21,5
43,674.89,909.27,60.5205,5.82947,23,5
44,753.69,40.71,4533.6,83.0322,17,5
44,753.69,40.71,5005.04,83.4004,19,5
44,753.69,40.71,5399.84,89.8329,21,5
44,753.69,40.71,5866.54,91.44,23,5
45,790.18,678.99,17.7172,3.50542,17,5
45,790.18,678.99,21.6459,3.42307,19,5
45,790.18,678.99,26.5212,3.86365,21,5
45,790.18,678.99,33.9052,3.9166,23,5
46,793.59,253.06,57.4118,7.08455,17,5
46,793.59,253.06,62.7259,7.15826,19,5
46,793.59,253.06,71.6727,7.49566,21,5
46,793.59,253.06,93.4612,7.95827,23,5
47,807.76,196.02,175.84,13.9931,17,5
47,807.76,196.02,212.94,14.4697,19,5
47,807.76,196.02,248.068,14.8056,21,5
47,807.76,196.02,285.742,15.2807,23,5
48,811.78,590.52,219.693,15.5721,17,5
48,811.78,590.52,253.725,16.4305,19,5
48,811.78,590.52,315.211,17.3603,21,5
48,811.78,590.52,359.714,17.4599,23,5
49,818.28,318.43,40.7017,7.95242,17,5
49,818.28,318.43,47.5638,7.45442,19,5
49,818.28,318.43,61.3328,8.00534,21,5
49,818.28,318.43,66.656,8.08976,23,5
50,834.54,671.04,193.223,12.5345,17,5
50,834.54,671.04,225.12,12.6698,19,5
50,834.54,671.04,266.32,13.6194,21,5
50,834.54,671.04,306.524,13.8132,23,5
51,835.42,828.44,23.6299,3.63487,17,5
51,835.42,828.44,28.9754,3.92311,19,5
51,835.42,828.44,31.5545,4.11137,21,5
51,835.42,828.44,38.2187,4.07394,23,5
52,837.15,887.82,979.998,26.0538,17,5
52,837.15,887.82,1110.67,27.8575,19,5
52,837.15,887.82,1286.96,28.9437,21,5
52,837.15,887.82,1451.23,29.4065,23,5
53,855.42,888.14,19.4334,4.59254,17,5
53,855.42,888.14,21.9416,4.72398,19,5
53,855.42,888.14,26.177,5.24806,21,5
53,855.42,888.14,32.6191,5.0987,23,5
54,862.59,476.75,96.4954,9.94215,17,5
54,862.59,476.75,110.532,9.94772,19,5
54,862.59,476.75,126.588,10.7308,21,5
54,862.59,476.75,150.796,10.7869,23,5
55,866.6,670.95,222.691,14.7268,17,5
55,866.6,670.95,230.57,14.4086,19,5
55,866.6,670.95,296.059,15.664,21,5
55,866.6,670.95,325.981,16.2154,23,5
56,875.22,1010.09,359.701,17.6642,17,5
56,875.22,1010.09,404.141,17.1957,19,5
56,875.22,1010.09,463.549,18.6909,21,5
56,875.22,1010.09,507.708,19.1411,23,5
57,874.92,655.62,900.668,33.6429,17,5
57,874.92,655.62,1023.62,34.023,19,5
57,874.92,655.62,1179.82,36.2927,21,5
57,874.92,655.62,1332.09,37.3993,23,5
58,875.38,476.91,28.7498,5.21793,17,5
58,875.38,476.91,34.6013,5.30666,19,5
58,875.38,476.91,40.4759,5.80767,21,5
58,875.38,476.91,48.6865,5.83195,23,5
59,912.89,734.24,341.469,17.9137,17,5
59,912.89,734.24,399.385,19.0943,19,5
59,912.89,734.24,415.98,19.7163,21,5
59,912.89,734.24,508.842,21.1081,23,5
60,914.93,409.22,1083.1,30.8046,17,5
60,914.93,409.22,1233.6,31.1427,19,5
60,914.93,409.22,1419.4,33.2924,21,5
60,914.93,409.22,1608.15,34.2001,23,5
61,934.42,418.46,14.0822,3.11808,17,5
61,934.42,418.46,15.3503,3.32076,19,5
61,934.42,418.46,19.1155,3.4335,21,5
61,934.42,418.46,20.3338,3.51556,23,5
62,945.36,810.31,646.246,22.0106,17,5
62,945.36,810.31,765.696,22.9367,19,5
62,945.36,810.31,897.223,24.0956,21,5
62,945.36,810.31,1022.11,24.5913,23,5
64,994.17,806.23,314.262,17.8115,17,5
64,994.17,806.23,351.555,18.5938,19,5
64,994.17,806.23,427.28,19.7259,21,5
64,994.17,806.23,488.753,20.0106,23,5
65,1005.11,9.79,458.116,18.8558,17,5
65,1005.11,9.79,502.43,19.3386,19,5
65,1005.11,9.79,555.522,20.3438,21,5
65,1005.11,9.79,619.405,20.6741,23,5
66,1007.22,124.87,17.4335,3.4643,17,5
66,1007.22,124.87,19.7488,3.71638,19,5
66,1007.22,124.87,23.2593,3.57862,21,5
66,1007.22,124.87,28.3,3.91623,23,5
67,1024.65,1072.64,56.2273,8.64844,17,5
67,1024.65,1072.64,67.1092,8.66485,19,5
67,1024.65,1072.64,77.142,8.92615,21,5
67,1024.65,1072.64,100.345,9.21359,23,5
68,1047.52,75.0,852.311,27.4334,17,5
68,1047.52,75.0,947.768,27.9652,19,5
68,1047.52,75.0,1068.36,29.247,21,5
68,1047.52,75.0,1188.85,29.719,23,5
69,1048.6,495.51,56.1802,7.09197,17,5
69,1048.6,495.51,57.5051,6.93082,19,5
69,1048.6,495.51,69.1412,7.26097,21,5
69,1048.6,495.51,81.7963,7.50041,23,5
70,1048.79,35.79,986.055,28.1316,17,5
70,1048.79,35.79,1145.46,28.7338,19,5
70,1048.79,35.79,1315.83,30.5379,21,5
70,1048.79,35.79,1493.03,30.7506,23,5
71,1054.87,958.53,152.981,13.8891,17,5
71,1054.87,958.53,193.188,14.0352,19,5
71,1054.87,958.53,241.727,15.0827,21,5
71,1054.87,958.53,280.151,14.9554,23,5
72,1056.9,805.3,45.4557,6.20852,17,5
72,1056.9,805.3,51.602,6.59685,19,5
72,1056.9,805.3,60.4993,6.83542,21,5
72,1056.9,805.3,65.9189,6.94805,23,5
73,1069.59,236.28,9.92978,2.835,17,5
73,1069.59,236.28,15.6419,2.95828,19,5
73,1069.59,236.28,15.8642,3.12768,21,5
73,1069.59,236.28,18.9803,3.2958,23,5
74,1070.71,89.15,112.07,9.55786,17,5
74,1070.71,89.15,133.3,9.85402,19,5
74,1070.71,89.15,138.163,10.604,21,5
74,1070.71,89.15,161.016,11.1621,23,5
75,1091.87,524.18,1839.44,39.9432,17,5
75,1091.87,524.18,1940.88,38.8589,19,5
75,1091.87,524.18,2175.78,39.3109,21,5
75,1091.87,524.18,2416.13,41.3507,23,5
76,1093.62,688.92,67.0598,7.92337,17,5
76,1093.62,688.92,77.296,7.52826,19,5
76,1093.62,688.92,97.2853,8.47018,21,5
76,1093.62,688.92,97.7835,8.48477,23,5
77,1094.97,911.43,23.9877,3.13693,17,5
77,1094.97,911.43,11.3992,2.68729,19,5
77,1094.97,911.43,24.8329,3.29707,21,5
77,1094.97,911.43,16.6198,2.83187,23,5
78,1151.8,429.51,44.4444,5.84306,17,5
78,1151.8,429.51,50.2535,6.32663,19,5
78,1151.8,429.51,55.5667,6.59698,21,5
78,1151.8,429.51,73.829,6.81282,23,5
79,1170.9,240.35,2552.22,46.2488,17,5
79,1170.9,240.35,2932.28,46.7905,19,5
79,1170.9,240.35,3363.92,50.1312,21,5
79,1170.9,240.35,3861.38,52.3215,23,5
81,1183.03,930.04,35.3857,5.22534,17,5
81,1183.03,930.04,44.7878,5.34022,19,5
81,1183.03,930.04,51.259,5.62381,21,5
81,1183.03,930.04,63.146,5.77919,23,5
82,1184.25,593.95,27.9302,5.08503,17,5
82,1184.25,593.95,30.1305,5.02739,19,5
82,1184.25,593.95,34.2588,5.25214,21,5
82,1184.25,593.95,39.8916,5.41494,23,5
83,1227.23,785.47,54.2214,7.48566,17,5
83,1227.23,785.47,62.9535,7.2805,19,5
83,1227.23,785.47,85.4441,8.13354,21,5
83,1227.23,785.47,81.2465,8.41434,23,5
84,1232.59,672.11,28.4856,4.50241,17,5
84,1232.59,672.11,18.5522,4.34674,19,5
84,1232.59,672.11,21.5525,4.77224,21,5
84,1232.59,672.11,24.188,5.04935,23,5
85,1242.02,154.23,25.0124,4.38374,17,5
85,1242.02,154.23,28.4216,4.35686,19,5
85,1242.02,154.23,35.8188,5.07182,21,5
85,1242.02,154.23,39.5297,5.17066,23,5
86,1247.6,484.16,271.948,13.7707,17,5
86,1247.6,484.16,318.175,14.5134,19,5
86,1247.6,484.16,371.193,16.231,21,5
86,1247.6,484.16,343.566,15.6587,23,5
89,1268.59,1073.94,24.762,5.09453,17,5
89,1268.59,1073.94,30.6508,4.97553,19,5
89,1268.59,1073.94,38.0417,5.24041,21,5
89,1268.59,1073.94,42.4481,5.19939,23,5
90,1269.12,412.98,18.1684,4.05542,17,5
90,1269.12,412.98,20.6119,4.36668,19,5
90,1269.12,412.98,23.6035,4.19249,21,5
90,1269.12,412.98,30.8623,4.19695,23,5
91,1273.42,788.55,1754.82,36.697,17,5
91,1273.42,788.55,1943.75,38.6924,19,5
91,1273.42,788.55,2134.43,40.4974,21,5
91,1273.42,788.55,2248.9,40.5336,23,5
92,1293.3,874.12,25.0525,5.45185,17,5
92,1293.3,874.12,28.3768,5.50111,19,5
92,1293.3,874.12,33.2365,5.83006,21,5
92,1293.3,874.12,46.0978,5.7232,23,5
93,1294.32,320.07,38.9818,7.5085,17,5
93,1294.32,320.07,45.9713,10.802,19,5
93,1294.32,320.07,48.959,8.77863,21,5
93,1294.32,320.07,55.9337,9.33281,23,5
94,1320.6,73.32,19.8815,4.16693,17,5
94,1320.6,73.32,18.4255,4.2979,19,5
94,1320.6,73.32,22.0407,4.42727,21,5
94,1320.6,73.32,26.003,4.46541,23,5
95,1341.54,625.5,99.0932,9.6467,17,5
