spot,x,y,luminosity,error,T,v,v_fin,phase,detected
30,414.48,953.95,142.744,3.20075,20.0,58.3,7.0,annealing_T=100_h=25,True
30,415.8,954.01,367.024,17.8178,20.0,58.3,7.0,annealing_T=100_h=5,True
30,423.39,952.54,344.916,17.2998,20.0,58.3,7.0,annealing_T=75_h=25,True
30,422.7,953.14,344.855,17.0836,20.0,58.3,7.0,annealing_T=75_h=5,True
30,418.05,951.37,316.928,16.0161,20.0,58.3,7.0,before_annealing,True
31,420.18,78.16,62.0016,2.98784,20.0,58.3,7.0,annealing_T=100_h=25,True
31,420.84,78.9,200.583,14.8233,20.0,58.3,7.0,annealing_T=100_h=5,True
31,421.37,77.22,169.717,13.4452,20.0,58.3,7.0,annealing_T=75_h=25,True
31,426.05,77.87,227.153,14.695,20.0,58.3,7.0,annealing_T=75_h=5,True
31,423.32,76.15,208.912,14.6908,20.0,58.3,7.0,before_annealing,True
32,426.32,492.3,780.763,6.48148,20.0,58.3,7.0,annealing_T=100_h=25,True
32,426.99,492.33,921.268,31.9634,20.0,58.3,7.0,annealing_T=100_h=5,True
32,431.03,490.84,998.111,32.0793,20.0,58.3,7.0,annealing_T=75_h=25,True
32,432.9,491.48,1704.63,41.5566,20.0,58.3,7.0,annealing_T=75_h=5,True
32,429.4,489.62,2449.01,51.1337,20.0,58.3,7.0,before_annealing,True
33,454.52,773.1,0.0,0.0,20.0,58.3,7.0,annealing_T=100_h=25,False
33,454.52,773.1,42.9085,7.40927,20.0,58.3,7.0,annealing_T=100_h=5,True
33,460.53,771.17,89.7536,8.98884,20.0,58.3,7.0,annealing_T=75_h=25,True
33,460.83,771.8,87.8613,8.43357,20.0,58.3,7.0,annealing_T=75_h=5,True
33,456.62,770.21,74.0645,7.75228,20.0,58.3,7.0,before_annealing,True
34,485.69,102.88,967.872,6.3938,20.0,58.3,7.0,annealing_T=100_h=25,True
34,486.43,102.89,3205.06,65.1457,20.0,58.3,7.0,annealing_T=100_h=5,True
34,487.29,100.95,1594.75,45.2909,20.0,58.3,7.0,annealing_T=75_h=25,True
34,491.45,101.92,3428.37,66.8983,20.0,58.3,7.0,annealing_T=75_h=5,True
34,489.0,100.3,3402.57,66.0947,20.0,58.3,7.0,before_annealing,True
35,504.81,14.29,0.0,0.0,20.0,58.3,7.0,annealing_T=100_h=25,False
35,502.65,12.69,0.0,0.0,20.0,58.3,7.0,annealing_T=100_h=5,False
35,502.65,12.69,0.0,0.0,20.0,58.3,7.0,annealing_T=75_h=25,False
35,504.81,14.29,32.6416,4.43064,20.0,58.3,7.0,annealing_T=75_h=5,True
35,502.65,12.69,34.496,4.61864,20.0,58.3,7.0,before_annealing,True
36,502.98,1003.82,0.0,0.0,20.0,58.3,7.0,annealing_T=100_h=25,False
36,502.98,1003.82,124.477,11.436,20.0,58.3,7.0,annealing_T=100_h=5,True
36,511.27,1001.29,111.98,9.55341,20.0,58.3,7.0,annealing_T=75_h=25,True
36,510.17,1002.41,102.229,8.66709,20.0,58.3,7.0,annealing_T=75_h=5,True
36,505.5,1001.08,90.709,8.12365,20.0,58.3,7.0,before_annealing,True
37,505.3,144.44,53.3555,2.28334,20.0,58.3,7.0,annealing_T=100_h=25,True
37,505.28,144.38,85.3488,7.9749,20.0,58.3,7.0,annealing_T=100_h=5,True
37,506.72,142.12,168.479,12.2183,20.0,58.3,7.0,annealing_T=75_h=25,True
37,510.67,143.02,295.652,17.8091,20.0,58.3,7.0,annealing_T=75_h=5,True
37,508.0,141.46,341.623,16.7881,20.0,58.3,7.0,before_annealing,True
38,513.05,851.26,0.0,0.0,20.0,58.3,7.0,annealing_T=100_h=25,False
38,513.05,851.26,0.0,0.0,20.0,58.3,7.0,annealing_T=100_h=5,False
38,513.05,851.26,0.0,0.0,20.0,58.3,7.0,annealing_T=75_h=25,False
38,513.05,851.26,0.0,0.0,20.0,58.3,7.0,annealing_T=75_h=5,False
38,513.05,851.26,34.3596,4.91455,20.0,58.3,7.0,before_annealing,True
39,512.76,887.46,360.605,9.60539,20.0,58.3,7.0,annealing_T=100_h=25,True
39,513.75,887.61,872.833,36.6127,20.0,58.3,7.0,annealing_T=100_h=5,True
39,520.82,885.34,3054.03,79.4748,20.0,58.3,7.0,annealing_T=75_h=25,True
39,520.44,886.44,3113.59,62.9703,20.0,58.3,7.0,annealing_T=75_h=5,True
39,515.95,884.84,2735.3,55.3932,20.0,58.3,7.0,before_annealing,True
40,567.85,127.2,23.3282,1.63563,20.0,58.3,7.0,annealing_T=100_h=25,True
40,571.64,124.56,0.0,0.0,20.0,58.3,7.0,annealing_T=100_h=5,False
40,569.59,124.69,23.1714,3.74608,20.0,58.3,7.0,annealing_T=75_h=25,True
40,574.48,126.75,20.8524,2.97759,20.0,58.3,7.0,annealing_T=75_h=5,True
40,571.64,124.56,18.0209,2.91534,20.0,58.3,7.0,before_annealing,True
41,583.64,499.92,220.108,4.59012,20.0,58.3,7.0,annealing_T=100_h=25,True
41,596.14,529.58,0.0,0.0,20.0,58.3,7.0,annealing_T=100_h=5,False
41,598.77,529.49,21.9269,3.41615,20.0,58.3,7.0,annealing_T=75_h=25,True
41,600.05,531.31,46.4278,6.07494,20.0,58.3,7.0,annealing_T=75_h=5,True
41,596.14,529.58,60.4918,5.76803,20.0,58.3,7.0,before_annealing,True
