spot,phase,B_R16,Berr_R16,chi2_R16,ndf_R16,chi2ndf_R16,fit_status_R16,covmatrix_status_R16,edm_R16,converged_R16,B_R24,Berr_R24,chi2_R24,ndf_R24,chi2ndf_R24,fit_status_R24,covmatrix_status_R24,edm_R24,converged_R24
75,annealing_T=75_h=5,1.95189,0.0564211,91.2762,4,22.8191,0,3,4.90216e-08,1,2.7578,0.125093,56.1244,4,14.0311,0,3,2.10536e-08,1
76,annealing_T=75_h=5,1.32531,0.0212867,120.553,4,30.1384,0,3,2.71425e-08,1,1.21233,0.0328009,101.762,4,25.4405,0,3,2.2464e-06,1
77,annealing_T=75_h=5,2.23841,0.00912269,156.691,4,39.1728,0,3,2.11632e-07,1,2.34868,0.0126924,175.87,4,43.9675,0,3,3.66079e-09,1
78,annealing_T=75_h=5,2.45521,0.00275794,3222.16,4,805.539,0,3,4.06327e-07,1,2.51544,0.00324446,2196.12,4,549.03,0,3,1.33936e-05,1
79,annealing_T=75_h=5,2.10015,0.00175529,572.966,4,143.242,0,3,3.40038e-10,1,2.16398,0.00222456,745.218,4,186.304,0,3,2.88445e-06,1
80,annealing_T=75_h=5,4.31976,0.0201682,80.8149,4,20.2037,0,3,5.43907e-09,1,4.42945,0.0268983,108.978,4,27.2444,0,3,2.68613e-07,1
81,annealing_T=75_h=5,2.50713,0.0261244,230.648,4,57.6619,0,3,6.05633e-08,1,2.7861,0.048677,218.846,4,54.7115,0,3,7.60578e-09,1
82,annealing_T=75_h=5,1.91075,0.00977342,613.923,4,153.481,0,3,1.35509e-06,1,2.02624,0.0128572,318.915,4,79.7288,0,3,7.53054e-07,1
83,annealing_T=75_h=5,3.12233,0.140679,177.618,4,44.4045,0,3,2.21748e-10,1,2.84148,0.138759,183.41,4,45.8526,0,3,4.39498e-09,1
84,annealing_T=75_h=5,3.08127,0.00265991,657.5,4,164.375,0,3,4.72892e-09,1,3.11715,0.00308049,339.212,4,84.803,0,3,1.09182e-06,1
85,annealing_T=75_h=5,1.36337,0.317809,40.4472,4,10.1118,0,3,1.772e-08,1,2.85755,0.282367,52.6353,4,13.1588,0,3,2.42673e-06,1
86,annealing_T=75_h=5,2.38942,0.00214503,2028.85,4,507.214,0,3,8.0788e-06,1,2.46655,0.00276546,1772.68,4,443.171,0,3,1.09073e-08,1
87,annealing_T=75_h=5,1.39249,0.016813,129.33,4,32.3326,0,3,1.77643e-07,1,1.414,0.0229399,34.3009,4,8.57523,0,3,1.86497e-08,1
88,annealing_T=75_h=5,2.31139,0.00284954,1103.15,4,275.788,0,3,1.53803e-07,1,2.31419,0.0029495,1256.29,4,314.072,0,3,4.58073e-08,1
89,annealing_T=75_h=5,1.46713,0.224772,342.044,4,85.511,0,3,7.18215e-07,1,2.07752,0.237242,144.313,4,36.0781,0,3,8.14439e-08,1
90,annealing_T=75_h=5,2.3445,0.00158608,8730.1,4,2182.52,0,3,6.77363e-08,1,2.39496,0.00185883,7719.18,4,1929.79,0,3,2.3132e-07,1
