spot,x,y,phase,A,A_stat_error,lambda,lambda_stat_error,deltaLambda,chi2,ndf,chi2ndf,prob,fit_status,covmatrix_status,edm,converged
73,636.75,916.39,annealing_T=100_h=5,27.0934,1.63707,0.0722011,0.0029158,0.00564299,72.5935,2,36.2967,1.72398e-16,0,3,1.10702e-07,1
74,860.52,473.69,annealing_T=100_h=5,50.4306,1.9178,0.051729,0.00184555,0.00718669,36.3232,2,18.1616,1.29575e-08,0,3,1.56694e-06,1
75,1177.23,652.6,annealing_T=100_h=5,33.9562,1.5601,0.0681405,0.00221555,0.0117262,35.4194,2,17.7097,2.03601e-08,0,3,4.28907e-08,1
76,1598.55,321.37,annealing_T=100_h=5,7.03226e-11,1.755e-10,1.11053,0.108599,1.13636,63.3568,2,31.6784,1.74679e-14,1,2,1.76712e-06,0
77,1680.42,254.45,annealing_T=100_h=5,18.5799,2.83316,0.0363482,0.00738662,0.00528211,7.46802,2,3.73401,0.0238968,0,3,1.4629e-07,1
78,1723.33,806.39,annealing_T=100_h=5,159.202,17.5794,-0.0582248,0.00560479,0.0209894,700.469,2,350.235,7.85265e-153,0,3,1.29856e-08,1
79,573.94,124.39,annealing_T=100_h=5,6.45543,1.26462,0.0782097,0.00935371,0.0166354,2.37487,2,1.18744,0.305002,0,3,1.75099e-07,1
80,831.57,886.47,annealing_T=100_h=5,379.441,2.8021,0.0516735,0.000360893,0.000642957,40.5506,2,20.2753,1.56515e-09,0,3,1.17644e-08,1
81,913.25,408.38,annealing_T=100_h=5,365.725,2.12732,0.0650637,0.000284016,0.00176132,20.1255,2,10.0628,4.2638e-05,0,3,2.91017e-08,1
82,1537.11,139.07,annealing_T=100_h=5,25.8349,1.70792,0.0519419,0.00321153,0.00403404,2.05756,2,1.02878,0.357443,0,3,1.50473e-08,1
83,1558.55,210.1,annealing_T=100_h=5,30.2778,1.16818,0.0842444,0.00185873,0.00448538,114.04,2,57.0201,1.72378e-25,0,3,9.6197e-10,1
84,1735.76,910.82,annealing_T=100_h=5,2.26194e-12,8.21813e-12,1.23647,0.117246,0,13.0271,2,6.51357,0.00148318,4,1,0.00517164,0
85,1769.97,210.83,annealing_T=100_h=5,55.3602,1.67591,0.0813009,0.00144503,0.00386601,186.87,2,93.4349,2.64079e-41,0,3,3.88188e-06,1
86,490.02,98.85,annealing_T=100_h=5,233.28,1.98456,0.0806991,0.000414037,0.000928958,171.809,2,85.9044,4.9226e-38,0,3,1.91628e-10,1
87,792.1,250.31,annealing_T=100_h=5,9.26885,1.55841,0.0823884,0.0080615,0.0181053,136.403,2,68.2014,2.40156e-30,0,3,2.10682e-08,1
88,1096.47,199.77,annealing_T=100_h=5,0.0494935,0.0881678,0.226093,0.0816866,0,46.6063,2,23.3031,7.57836e-11,1,2,1.788e-06,0
